Date,NetQtrInc
03/31/2015,3515 
06/31/2015,3931
09/31/2015,3979
12/31/2015,4923
03/31/2016,4207
06/31/2016,4877
09/31/2016,5061
12/31/2016,5333
03/31/2017,5426
06/31/2017,3524
