Date,NetQtrInc
01/31/2015,3515 
04/31/2015,3931
07/31/2015,3979
10/31/2015,4923
01/31/2016,4207
04/31/2016,4877
07/31/2016,5061
10/31/2016,5333
01/31/2017,5426
04/31/2017,3524
